TimeDelta,Length,Port,Protocol,Length,Info
0.019296,115,80,TCP,115,51749  >  80 [ACK] Seq=1 Ack=1 Win=229 Len=0 TSval=6572 TSecr=2064913944
0.000121,115,80,TCP,115,[TCP Dup ACK 27#1] 51749  >  80 [ACK] Seq=1 Ack=1 Win=229 Len=0 TSval=6572 TSecr=2064913944
0.000137,115,80,TCP,115,[TCP Dup ACK 27#2] 51749  >  80 [ACK] Seq=1 Ack=1 Win=229 Len=0 TSval=6572 TSecr=2064913944
0.000678,115,80,TCP,115,[TCP Dup ACK 27#3] 51749  >  80 [ACK] Seq=1 Ack=1 Win=229 Len=0 TSval=6572 TSecr=2064913944
0.000118,115,80,TCP,115,[TCP Dup ACK 27#4] 51749  >  80 [ACK] Seq=1 Ack=1 Win=229 Len=0 TSval=6572 TSecr=2064913944
0.033294,115,51749,TCP,115,80  >  51749 [ACK] Seq=1 Ack=2 Win=282 Len=0 TSval=2064958995 TSecr=2070
0.885541,115,80,TCP,115,52706  >  80 [ACK] Seq=1 Ack=1 Win=229 Len=0 TSval=6664 TSecr=4217167227
0.862652,209,443,TLSv1.2,209,Application Data
0.003573,154,443,TLSv1.2,154,Application Data
0.000192,154,443,TCP,154,"[TCP Retransmission] 36646  >  443 [PSH, ACK] Seq=95 Ack=1 Win=1339 Len=39 TSval=6773 TSecr=3423921163"
0.001363,154,443,TCP,154,"[TCP Retransmission] 36646  >  443 [PSH, ACK] Seq=95 Ack=1 Win=1339 Len=39 TSval=6773 TSecr=3423921163"
0.000552,154,443,TCP,154,"[TCP Retransmission] 36646  >  443 [PSH, ACK] Seq=95 Ack=1 Win=1339 Len=39 TSval=6773 TSecr=3423921163"
0.001416,154,443,TCP,154,"[TCP Retransmission] 36646  >  443 [PSH, ACK] Seq=95 Ack=1 Win=1339 Len=39 TSval=6773 TSecr=3423921163"
0.004283,211,443,TLSv1.2,211,Application Data
0.021806,115,36646,TCP,115,443  >  36646 [ACK] Seq=1 Ack=95 Win=1050 Len=0 TSval=3423965848 TSecr=6773
0.000127,115,36646,TCP,115,[TCP Dup ACK 43#1] 443  >  36646 [ACK] Seq=1 Ack=95 Win=1050 Len=0 TSval=3423965848 TSecr=6773
0.002151,115,36646,TCP,115,443  >  36646 [ACK] Seq=1 Ack=134 Win=1050 Len=0 TSval=3423965855 TSecr=6773
0.000166,115,36646,TCP,115,[TCP Dup ACK 46#1] 443  >  36646 [ACK] Seq=1 Ack=134 Win=1050 Len=0 TSval=3423965855 TSecr=6773
0.000214,154,36646,TLSv1.2,154,Application Data
0.008228,115,36646,TCP,115,443  >  36646 [ACK] Seq=40 Ack=230 Win=1050 Len=0 TSval=3423965864 TSecr=6774
0.000127,115,36646,TCP,115,[TCP Dup ACK 49#1] 443  >  36646 [ACK] Seq=40 Ack=230 Win=1050 Len=0 TSval=3423965864 TSecr=6774
0.000717,115,36646,TCP,115,[TCP Dup ACK 49#2] 443  >  36646 [ACK] Seq=40 Ack=230 Win=1050 Len=0 TSval=3423965864 TSecr=6774
0.000113,115,36646,TCP,115,[TCP Dup ACK 49#3] 443  >  36646 [ACK] Seq=40 Ack=230 Win=1050 Len=0 TSval=3423965864 TSecr=6774
0.000259,115,36646,TCP,115,[TCP Dup ACK 49#4] 443  >  36646 [ACK] Seq=40 Ack=230 Win=1050 Len=0 TSval=3423965864 TSecr=6774
0.002289,115,36646,TCP,115,[TCP Dup ACK 49#5] 443  >  36646 [ACK] Seq=40 Ack=230 Win=1050 Len=0 TSval=3423965864 TSecr=6774
0.019171,1483,443,TCP,1483,36646  >  443 [ACK] Seq=230 Ack=40 Win=1339 Len=1368 TSval=6780 TSecr=3423965856 [TCP segment of a reassembled PDU]
0.000352,1483,443,TCP,1483,36646  >  443 [ACK] Seq=1598 Ack=40 Win=1339 Len=1368 TSval=6780 TSecr=3423965856 [TCP segment of a reassembled PDU]
0.000219,262,443,TLSv1.2,262,Application Data
0.000263,1483,443,TCP,1483,36646  >  443 [ACK] Seq=3113 Ack=40 Win=1339 Len=1368 TSval=6780 TSecr=3423965856 [TCP segment of a reassembled PDU]
0.000235,1483,443,TCP,1483,36646  >  443 [ACK] Seq=4481 Ack=40 Win=1339 Len=1368 TSval=6780 TSecr=3423965856 [TCP segment of a reassembled PDU]
0.032509,115,36646,TCP,115,443  >  36646 [ACK] Seq=40 Ack=1598 Win=1050 Len=0 TSval=3423965920 TSecr=6780
0.000204,115,36646,TCP,115,443  >  36646 [ACK] Seq=40 Ack=2966 Win=1050 Len=0 TSval=3423965920 TSecr=6780
0.000146,115,36646,TCP,115,443  >  36646 [ACK] Seq=40 Ack=3113 Win=1050 Len=0 TSval=3423965920 TSecr=6780
0.000144,115,36646,TCP,115,443  >  36646 [ACK] Seq=40 Ack=4481 Win=1050 Len=0 TSval=3423965920 TSecr=6780
0.000283,115,36646,TCP,115,443  >  36646 [ACK] Seq=40 Ack=5849 Win=1050 Len=0 TSval=3423965921 TSecr=6780
