TimeDelta,Length,Port,Protocol,Length,Info
0.034832,115,35885,TCP,115,443  >  35885 [ACK] Seq=1 Ack=1 Win=122 Len=0 TSval=1713469413 TSecr=595514226
0.013425,115,35885,TCP,115,443  >  35885 [ACK] Seq=1 Ack=63 Win=122 Len=0 TSval=1713469491 TSecr=595514346
0.000237,175,35885,TLSv1.2,175,Application Data
0.001068,115,80,TCP,115,2656  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
0.026994,115,2656,TCP,115,"80  >  2656 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 SACK_PERM WS=512"
0.0006,103,80,TCP,103,2656  >  80 [ACK] Seq=1 Ack=1 Win=65536 Len=0
0.000191,103,80,TCP,103,"2656  >  80 [FIN, ACK] Seq=1 Ack=1 Win=65536 Len=0"
0.049987,103,2656,TCP,103,"80  >  2656 [FIN, ACK] Seq=1 Ack=2 Win=65536 Len=0"
0.000538,103,80,TCP,103,2656  >  80 [ACK] Seq=2 Ack=2 Win=65536 Len=0
0.031222,109,587,TCP,109,40178  >  587 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000195,109,587,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  587 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000223,109,587,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  587 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000277,109,554,TCP,109,40178  >  554 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000404,109,554,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  554 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000355,109,22,TCP,109,40178  >  22 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000152,109,23,TCP,109,40178  >  23 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.00016,109,445,TCP,109,40178  >  445 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.00018,103,40178,TCP,103,"587  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000235,103,40178,TCP,103,"554  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000154,109,22,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  22 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000136,109,445,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  445 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000078,109,22,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  22 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000156,109,23,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  23 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000151,103,40178,TCP,103,"587  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000212,103,40178,TCP,103,"554  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000232,109,445,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  445 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000896,109,445,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  445 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.001179,109,445,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  445 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000154,109,80,TCP,109,40178  >  80 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000225,103,40178,TCP,103,"22  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000235,103,40178,TCP,103,"23  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000253,109,445,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  445 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000158,109,80,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  80 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000155,103,40178,TCP,103,"22  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000156,103,40178,TCP,103,"23  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000293,109,8888,TCP,109,40178  >  8888 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000155,109,113,TCP,109,40178  >  113 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000074,109,8888,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  8888 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
