TimeDelta,Length,Port,Attack
0.019296000,115,80,0
0.000121000,115,80,0
0.000137000,115,80,0
0.000678000,115,80,0
0.000118000,115,80,0
0.033294000,115,51749,0
0.885541000,115,80,0
0.862652000,209,443,0
0.003573000,154,443,0
0.000192000,154,443,0
0.001363000,154,443,0
0.000552000,154,443,0
0.001416000,154,443,0
0.004283000,211,443,0
0.021806000,115,36646,0
0.000127000,115,36646,0
0.002151000,115,36646,0
0.000166000,115,36646,0
0.000214000,154,36646,0
0.008228000,115,36646,0
0.000127000,115,36646,0
0.000717000,115,36646,0
0.000113000,115,36646,0
0.000259000,115,36646,0
0.002289000,115,36646,0
0.019171000,1483,443,0
0.000352000,1483,443,0
0.000219000,262,443,0
0.000263000,1483,443,0
0.000235000,1483,443,0
0.032509000,115,36646,0
0.000204000,115,36646,0
0.000146000,115,36646,0
0.000144000,115,36646,0
0.000283000,115,36646,0
0.000255000,1483,443,0
0.000280000,1483,443,0
0.000416000,1483,443,0
0.000294000,1483,443,0
0.000267000,1483,443,0
0.000454000,1483,443,0
0.000345000,1483,443,0
0.033502000,115,36646,0
0.000164000,115,36646,0
0.000144000,115,36646,0
0.000146000,115,36646,0
0.000219000,115,36646,0
0.000141000,115,36646,0
0.000157000,115,36646,0
0.000267000,1483,443,0
0.001379000,1483,443,0
0.000199000,1483,443,0
0.000327000,1483,443,0
0.000264000,1483,443,0
0.000261000,1483,443,0
0.000420000,1483,443,0
0.000318000,1483,443,0
0.000270000,1483,443,0
0.000424000,1483,443,0
0.000395000,1483,443,0
0.030297000,115,36646,0
0.000196000,115,36646,0
0.000795000,115,36646,0
0.000501000,115,36646,0
0.000604000,115,36646,0
0.000151000,115,36646,0
0.000269000,1483,443,0
0.000455000,1483,443,0
0.000332000,1483,443,0
0.000292000,1483,443,0
0.000414000,1483,443,0
0.000335000,1483,443,0
0.000270000,1483,443,0
0.000414000,1483,443,0
0.000335000,1483,443,0
0.000431000,1483,443,0
0.000317000,1483,443,0
0.000291000,1483,443,0
0.000912000,115,36646,0
0.002272000,1483,443,0
0.026712000,115,36646,0
0.000487000,115,36646,0
0.000719000,1483,443,0
0.000350000,1483,443,0
0.000227000,1483,443,0
0.000118000,115,36646,0
0.000425000,1483,443,0
0.000160000,833,443,0
0.000447000,115,36646,0
0.000194000,115,36646,0
0.002653000,115,36646,0
0.007762000,115,36646,0
0.021413000,115,36646,0
0.000498000,115,36646,0
0.000927000,1483,443,0
0.000354000,1483,443,0
0.000224000,262,443,0
0.000071000,262,443,0
0.000120000,262,443,0
0.000146000,652,443,0
0.032781000,115,36646,0
0.000202000,115,36646,0
0.000284000,115,36646,0
0.102517000,1483,443,0
0.000321000,1483,443,0
0.032027000,115,36646,0
0.000200000,115,36646,0
0.000147000,115,36646,0
0.085338000,1483,443,0
0.000427000,1483,443,0
0.000227000,262,443,0
0.000224000,495,443,0
0.033219000,115,36646,0
0.098620000,1483,443,0
0.000181000,1483,443,0
0.000190000,1483,443,0
0.000272000,262,443,0
0.000269000,1483,443,0
0.000225000,205,443,0
0.027606000,182,36646,0
0.000195000,153,36646,0
0.000150000,169,36646,0
0.000858000,115,443,0
0.019402000,163,443,0
0.037183000,115,36646,0
0.004523000,1483,443,0
0.000257000,1483,443,0
0.000266000,262,443,0
0.000272000,579,443,0
0.028870000,175,36646,0
0.003870000,115,36646,0
0.000294000,115,36646,0
0.034838000,115,443,0
0.063917000,1483,443,0
0.000275000,1483,443,0
0.000286000,262,443,0
0.000276000,1483,443,0
0.000226000,205,443,0
0.035104000,115,36646,0
0.001378000,115,36646,0
0.000190000,115,36646,0
0.001104000,115,36646,0
0.007651000,461,36646,0
0.000464000,115,443,0
0.079947000,1483,443,0
0.000205000,1483,443,0
0.005675000,1483,443,0
0.000388000,1483,443,0
0.000620000,1483,443,0
0.001536000,1483,443,0
0.000194000,262,443,0
0.000238000,708,443,0
0.010546000,184,36646,0
0.000819000,115,443,0
0.011095000,115,36646,0
0.003623000,115,36646,0
0.000156000,115,36646,0
0.087490000,115,443,0
0.000273000,115,443,0
0.000282000,1483,443,0
0.000533000,1483,443,0
0.000270000,262,443,0
0.000210000,1483,443,0
0.000226000,205,443,0
0.004632000,313,36646,0
0.000207000,157,36646,0
0.000782000,115,443,0
0.003008000,193,36646,0
0.000194000,157,36646,0
0.000891000,115,443,0
0.002978000,198,36646,0
0.000195000,157,36646,0
0.000505000,115,443,0
0.000085000,115,443,0
0.002091000,191,36646,0
0.000197000,157,36646,0
0.001613000,115,443,0
0.002003000,198,36646,0
0.000211000,157,36646,0
0.001824000,115,443,0
0.000084000,115,443,0
0.000359000,115,443,0
0.000416000,115,443,0
0.001253000,115,443,0
0.000081000,192,36646,0
0.002057000,157,36646,0
0.000142000,115,443,0
0.000392000,157,36646,0
0.001244000,157,36646,0
0.000155000,192,36646,0
0.000149000,157,36646,0
0.005411000,197,36646,0
0.000222000,115,36646,0
0.001464000,115,36646,0
0.000149000,115,36646,0
0.000147000,150,36646,0
0.000279000,115,443,0
0.000270000,115,443,0
0.000227000,115,443,0
0.003925000,197,36646,0
0.000193000,157,36646,0
0.000719000,115,443,0
0.001170000,192,36646,0
0.000241000,157,36646,0
0.001045000,115,443,0
0.002760000,193,36646,0
0.000201000,157,36646,0
0.000922000,115,443,0
0.002812000,208,36646,0
0.000202000,157,36646,0
0.001122000,115,443,0
0.071181000,1483,443,0
0.000280000,1483,443,0
0.000293000,262,443,0
0.000231000,693,443,0
0.032771000,115,36646,0
0.000201000,115,36646,0
0.052308000,192,36646,0
0.000197000,157,36646,0
0.000850000,115,443,0
0.000126000,115,443,0
0.000139000,115,443,0
0.000557000,115,443,0
0.000857000,115,443,0
0.001170000,115,443,0
0.001960000,115,443,0
0.003409000,194,36646,0
0.000200000,157,36646,0
0.000148000,198,36646,0
0.000147000,157,36646,0
0.004100000,115,443,0
0.001916000,190,36646,0
0.000204000,157,36646,0
0.000278000,191,36646,0
0.000195000,157,36646,0
0.007528000,115,443,0
0.000279000,115,443,0
0.000274000,115,443,0
0.000224000,115,443,0
0.022711000,1483,443,0
0.000129000,1483,443,0
0.000211000,1483,443,0
0.000321000,262,443,0
0.000273000,1483,443,0
0.000268000,1483,443,0
0.000260000,262,443,0
0.000263000,1483,443,0
0.000444000,1483,443,0
0.000241000,262,443,0
0.000282000,148,443,0
0.031307000,115,36646,0
0.000592000,115,36646,0
0.000192000,115,36646,0
0.000163000,115,36646,0
0.000285000,115,36646,0
0.004788000,115,36646,0
0.081675000,829,443,0
0.034081000,115,36646,0
0.052081000,190,36646,0
0.000198000,157,36646,0
0.001229000,115,443,0
0.000127000,115,443,0
0.000139000,115,443,0
0.001311000,115,443,0
0.001013000,194,36646,0
0.000202000,157,36646,0
0.000737000,115,443,0
0.003868000,189,36646,0
0.000193000,157,36646,0
0.001330000,115,443,0
0.001656000,190,36646,0
0.000195000,157,36646,0
0.000281000,115,443,0
0.035666000,1483,443,0
0.000355000,1483,443,0
0.000192000,262,443,0
0.000472000,1483,443,0
0.000301000,1483,443,0
0.000224000,262,443,0
0.000269000,1483,443,0
0.000292000,1483,443,0
0.000277000,262,443,0
0.000227000,148,443,0
0.031953000,115,36646,0
0.000193000,115,36646,0
0.000153000,115,36646,0
0.000234000,115,36646,0
0.002248000,115,36646,0
0.000202000,115,36646,0
0.000151000,115,36646,0
0.000148000,169,36646,0
0.034979000,115,443,0
0.002260000,115,443,0
0.085736000,115,36646,0
0.052548000,115,443,0
0.000267000,115,443,0
0.000378000,115,443,0
0.035525000,1483,443,0
0.000364000,1483,443,0
0.000221000,262,443,0
0.000263000,1483,443,0
0.000221000,1483,443,0
0.000275000,262,443,0
0.000271000,1483,443,0
0.000283000,1483,443,0
0.000231000,262,443,0
0.000271000,148,443,0
0.031289000,115,36646,0
0.000340000,115,36646,0
0.000148000,115,36646,0
0.000778000,115,36646,0
0.000343000,115,36646,0
0.001801000,996,443,0
0.048105000,115,36646,0
0.059617000,221,36646,0
0.000192000,168,36646,0
0.002566000,115,443,0
0.000193000,115,443,0
0.025462000,1483,443,0
0.000257000,1483,443,0
0.000469000,1483,443,0
0.000746000,1483,443,0
0.000274000,1483,443,0
0.000267000,262,443,0
0.000284000,1483,443,0
0.000274000,205,443,0
0.000270000,1483,443,0
0.000279000,1483,443,0
0.000224000,262,443,0
