TimeDelta,Length,Port,Attack
0.034832000,115,35885,1
0.013425000,115,35885,1
0.000237000,175,35885,1
0.001068000,115,80,1
0.026994000,115,2656,1
0.000600000,103,80,1
0.000191000,103,80,1
0.049987000,103,2656,1
0.000538000,103,80,1
0.031222000,109,587,1
0.000195000,109,587,1
0.000223000,109,587,1
0.000277000,109,554,1
0.000404000,109,554,1
0.000355000,109,22,1
0.000152000,109,23,1
0.000160000,109,445,1
0.000180000,103,40178,1
0.000235000,103,40178,1
0.000154000,109,22,1
0.000136000,109,445,1
0.000078000,109,22,1
0.000156000,109,23,1
0.000151000,103,40178,1
0.000212000,103,40178,1
0.000232000,109,445,1
0.000896000,109,445,1
0.001179000,109,445,1
0.000154000,109,80,1
0.000225000,103,40178,1
0.000235000,103,40178,1
0.000253000,109,445,1
0.000158000,109,80,1
0.000155000,103,40178,1
0.000156000,103,40178,1
0.000293000,109,8888,1
0.000155000,109,113,1
0.000074000,109,8888,1
0.000330000,109,113,1
0.000153000,109,1025,1
0.000156000,109,199,1
0.000243000,109,25,1
0.000144000,109,113,1
0.000150000,109,1025,1
0.000154000,109,199,1
0.000155000,109,25,1
0.000398000,103,40178,1
0.000231000,103,40178,1
0.000235000,103,40178,1
0.000153000,103,40178,1
0.000169000,103,40178,1
0.000146000,103,40178,1
0.000144000,103,40178,1
0.000320000,103,40178,1
0.000233000,109,443,1
0.000155000,109,135,1
0.000079000,109,135,1
0.000082000,109,135,1
0.000154000,109,443,1
0.000154000,109,135,1
0.000223000,103,40178,1
0.000226000,103,40178,1
0.000420000,103,40178,1
0.000173000,103,40178,1
0.000154000,103,40178,1
0.000161000,103,40178,1
0.000236000,109,21,1
0.000238000,109,110,1
0.000200000,109,3306,1
0.000155000,103,40178,1
0.000224000,103,40178,1
0.000156000,109,21,1
0.000156000,109,110,1
0.000349000,103,40178,1
0.000152000,103,40178,1
0.000226000,109,111,1
0.000146000,109,993,1
0.000147000,103,40178,1
0.000294000,103,40178,1
0.000233000,103,40178,1
0.000161000,109,111,1
0.000154000,109,993,1
0.000151000,103,40178,1
0.000155000,103,40178,1
0.000152000,103,40178,1
0.000375000,103,40178,1
0.000246000,103,40178,1
0.000154000,103,40178,1
0.000152000,103,40178,1
0.000233000,109,8080,1
0.000147000,109,256,1
0.000159000,109,8080,1
0.000153000,109,256,1
0.000231000,109,53,1
0.000154000,109,139,1
0.000155000,109,1720,1
0.000153000,109,53,1
0.000287000,109,139,1
0.000161000,109,1720,1
0.000459000,103,40178,1
0.000229000,103,40178,1
0.000230000,103,40178,1
0.000234000,103,40178,1
0.000155000,103,40178,1
0.000150000,103,40178,1
0.000159000,103,40178,1
0.000155000,103,40178,1
0.000151000,103,40178,1
0.000327000,109,143,1
0.000075000,109,143,1
0.000075000,109,143,1
0.000149000,109,5900,1
0.001393000,109,143,1
0.000161000,109,5900,1
0.000290000,109,1723,1
0.000153000,109,3389,1
0.000224000,109,995,1
0.000154000,109,9877,1
0.000291000,109,1723,1
0.000153000,109,3389,1
0.000154000,109,995,1
0.000155000,109,9877,1
0.000229000,109,57294,1
0.000267000,109,6001,1
0.000154000,109,57294,1
0.000151000,109,6001,1
0.000235000,109,144,1
0.000154000,109,3324,1
0.000312000,109,1152,1
0.000158000,109,144,1
0.000160000,109,3324,1
0.000155000,109,1152,1
0.000149000,103,40178,1
0.000242000,103,40178,1
0.000232000,103,40178,1
0.000379000,103,40178,1
0.000232000,103,40178,1
0.000228000,103,40178,1
0.000230000,103,40178,1
0.000154000,103,40178,1
0.000155000,103,40178,1
0.000149000,103,40178,1
0.000160000,103,40178,1
0.000154000,103,40178,1
0.000155000,103,40178,1
0.000151000,103,40178,1
0.000156000,103,40178,1
0.000395000,109,2030,1
0.000146000,109,6510,1
0.000155000,109,3005,1
0.000159000,109,2030,1
0.000154000,109,6510,1
0.000153000,109,3005,1
0.000231000,109,1287,1
0.000154000,109,3871,1
0.000154000,109,3268,1
0.000154000,109,1287,1
0.000154000,109,3871,1
0.000154000,109,3268,1
0.000459000,103,40178,1
0.000273000,103,40178,1
0.000231000,109,2035,1
0.000154000,109,497,1
0.000147000,109,13722,1
0.000311000,109,497,1
0.000153000,109,13722,1
0.000230000,103,40178,1
0.000151000,103,40178,1
0.000226000,103,40178,1
0.000232000,103,40178,1
0.000232000,103,40178,1
0.000228000,103,40178,1
0.000232000,103,40178,1
0.000232000,103,40178,1
0.000228000,103,40178,1
0.000389000,103,40178,1
0.000238000,103,40178,1
0.000153000,109,2034,1
0.000155000,103,40178,1
0.000152000,103,40178,1
0.000153000,103,40178,1
0.000152000,103,40178,1
0.000154000,109,2034,1
0.000150000,103,40178,1
0.000158000,103,40178,1
0.000152000,103,40178,1
0.000155000,103,40178,1
0.000153000,103,40178,1
0.000155000,103,40178,1
0.000155000,103,40178,1
0.000155000,109,2034,1
0.000228000,109,9502,1
0.000155000,109,8100,1
0.000232000,103,40178,1
0.000153000,109,1974,1
0.000153000,109,9502,1
0.000154000,103,40178,1
0.000155000,109,8100,1
0.000152000,109,1974,1
0.000368000,109,366,1
0.000080000,109,366,1
0.000153000,109,8083,1
0.000077000,103,40178,1
0.000078000,103,40178,1
0.000154000,103,40178,1
0.000231000,103,40178,1
0.000150000,109,366,1
0.000146000,103,40178,1
0.000146000,103,40178,1
0.000145000,103,40178,1
0.000219000,109,8083,1
0.000146000,109,55555,1
0.000074000,103,40178,1
0.000146000,109,8083,1
0.000147000,103,40178,1
0.000228000,109,55555,1
0.000146000,109,4006,1
0.000219000,109,55555,1
0.000147000,109,4006,1
0.000227000,109,8082,1
0.000156000,109,44176,1
0.000152000,109,3914,1
0.000149000,109,8082,1
0.000315000,109,44176,1
0.000146000,109,3914,1
0.000219000,103,40178,1
0.000146000,103,40178,1
0.000218000,103,40178,1
0.000146000,109,1301,1
0.000146000,103,40178,1
0.000215000,103,40178,1
0.000218000,103,40178,1
0.000145000,109,9917,1
0.000070000,109,9917,1
0.000070000,109,9917,1
0.000072000,103,40178,1
0.000073000,103,40178,1
0.000072000,103,40178,1
0.000076000,103,40178,1
0.000074000,109,9917,1
0.000147000,109,9415,1
0.000074000,109,9415,1
0.000073000,109,9415,1
0.000158000,109,9415,1
0.000191000,103,40178,1
